id,translation
58,"{'ca': 'És ben dur de fer-lo treballar els dissabtes, quan tots els minyons fan festa; pero ell té més rancúnia al treball que a cap altra cosa, i, no hi ha més, he de complir amb ell una mica de la meva obligació, o seré la seva ruina.', 'hu': 'Keserves dolog szombaton dolgoztatni, mikor a többi fiú mind szabad, de a munkát jobban utálja, mint bármi mást, és hát teljesítenem kell vele szemben kötelességemet, különben én leszek az oka, ha rossz útra téved.'}"
59,"{'ca': 'Tom va fer campana, i va passar una gentil estona.', 'hu': 'Tom csakugyan felé se ment az iskolának, és igen jól érezte magát.'}"
60,"{'ca': ""Torna a casa amb prou feines a temps d'ajudar Jim, el vailet negre, a serrar la llenya del dia següent; i partí les teies abans de sopar, o almenys estigué allí a una hora escaient per a dir ses aventures a Jim, mentre Jim feia les tres quartes parts de la feina."", 'hu': 'Későn jött meg, de még épp idejében, hogy vacsora előtt segítsen Jimnek, a kis néger fiúnak a másnapi fát felvágni és gyújtóst hasogatni - vagyis inkább idejében érkezett, hogy elmesélje kalandjait Jimnek, amíg Jim elvégezte a munka háromnegyed részét.'}"
61,"{'ca': 'El germa petit de Tom (o, millor, germanastre), Sid, estava ja enfeinat en la seva contribució al treball (arreplegant les miques de fusta), perque era un noi tranquil, i no pas de mena aventurera ni enquimeradora.', 'hu': 'Tom öccse (azaz inkább féltestvére), Sid, már elvégezte a maga dolgát, összeszedte a forgácsot. Sid csöndes fiú volt, nem járt kalandos, zavaros utakon.'}"
62,"{'ca': ""Mentre Tom anava menjant-se el seu sopar i robava el sucre en oferir-se-n'hi avinentesa, la tia Polly li feia preguntes que eren plenes d'artifici i molt pregones, perque volia atrapar-lo en revelacions perjudicials."", 'hu': 'Míg Tom vacsorázott, és alkalmilag elcsórt egy kockacukrot, Polly néni mély és csalafinta kérdéseket intézett hozzá - szerette volna beismerő vallomásra kényszeríteni.'}"
63,"{'ca': ""Com esdevé a moltes altres animes senzilles, la seva vanitat predilecta era de creure que tenia un talent especial per a l'ombrívola i misteriosa diplomacia, i li plaia de considerar sos enginys més transparents com a meravelles d'extraordinaria trapelleria."", 'hu': 'Mint a hozzá hasonló jótét lelkek általában, azzal tetszelgett magának, hogy burkolt és rejtélyes diplomáciai képesség lappang benne, és legátlátszóbb csapdáiról is azt hitte, hogy azok a mélységes diplomáciai ravaszság remekei.'}"
64,"{'ca': ""-Tom- digué ella -feia bastanta calor a l'escola: veritat?"", 'hu': 'Tom, nem volt nagyon meleg az iskolában?'}"
65,"{'ca': '-Sí, senyora.', 'hu': 'De igen.'}"
66,"{'ca': '-Molta calor: veritat?', 'hu': 'Túlságosan meleg volt, nem?'}"
67,"{'ca': '-Sí, senyora.', 'hu': 'De igen.'}"
68,"{'ca': ""-No teníeu ganes de rabejar-vos una mica a l'aigua, Tom?"", 'hu': 'Nem kerekedett kedved fürödni menni, Tom?'}"
69,"{'ca': ""Tom es sentí ferit d'un bri d'alarma, d'un toc de sospita inquieta."", 'hu': 'Valami átvillant Tomon - a sanda gyanú árnyéka.'}"
70,"{'ca': 'Escruta la cara de la tia Polly, pero ella no li digué res.', 'hu': 'Kutatva nézett Polly néni szemébe, de az semmit sem árult el.'}"
71,"{'ca': 'Així és que féu: -No sé…, és a dir, no molt.', 'hu': 'Ezért azt mondta: - Ne-em - igazán nem volt kedvem.'}"
72,"{'ca': 'La vella senyora estengué la seva ma i toca la camisa de Tom, i digué: -Pero tampoc no esteu massa calent, ara.', 'hu': 'Az öreg hölgy megtapogatta Tom ingét. - Nem is vagy nagyon kimelegedve.'}"
73,"{'ca': ""I li fou cosa afalagadora, de reflexionar que ella havia descobert que la camisa era seca, sense que ningú s'adonés que aixo era la cosa que portava al magí."", 'hu': 'Büszke volt rá, hogy most megállapította: a fiúnak száraz az inge, és senki nem is sejthette, hogy mi a szándéka.'}"
74,"{'ca': ""Pero, a desgrat d'ella, Tom ara sabia d'on venia el vent."", 'hu': 'De Tom tudta már, hogy honnan fúj a szél.'}"
75,"{'ca': 'Així és que preveié quína seria la vinent jugada.', 'hu': 'Ezért megelőzte a következő sakkhúzást.'}"
76,"{'ca': '-Alguns de nosaltres ens mullarem el cap sota la bomba… Jo encara el tinc humit. Veieu?', 'hu': 'Vizet húztunk egymás fejére - az enyém is egész nedves még, nézd csak!'}"
77,"{'ca': 'La tia Polly va enrabinar-se de pensar que havia passat per alt aquell bocí de prova circumstancial i negligit una pista. Aleshores digué, amb nova inspiració:', 'hu': 'Polly nénit bántotta, hogy elmulasztotta ennek a fontos ténykörülménynek a megállapítását, és így a cselvetés nem sikerült, azonban új ötlete támadt:'}"
78,"{'ca': ""-Tom: no us calgué pas d'arrencar el coll de la camisa d'alla on jo l'havia cosit, per mullar-vos el cap: oi?"", 'hu': 'Tudom, ha vizet húztál a fejedre, csak nem fejtetted le a gallért, amit az ingre varrtam, mi?'}"
79,"{'ca': 'Descordeu-vos el gec!', 'hu': 'Gombold ki a kabátodat!'}"
80,"{'ca': ""A la cara de Tom s'hi esvaí la preocupació."", 'hu': 'Minden aggodalom eltűnt Tom arcáról.'}"
81,"{'ca': 'Obrí son gec.', 'hu': 'Kinyitotta a kabátját.'}"
82,"{'ca': 'Son coll de camisa estava solidament cosit.', 'hu': 'A gallér erősen oda volt varrva.'}"
83,"{'ca': '-Dolentot!', 'hu': 'Adta kölyke.'}"
84,"{'ca': 'Bé, ja podeu tocar pirandó.', 'hu': 'No, csak tűnj el innét.'}"
85,"{'ca': 'Estava segura que havíeu fet el plaga i havíeu anat a nedar.', 'hu': 'Biztos voltam benne, hogy iskolát kerültél, és fürödtél.'}"
86,"{'ca': 'Pero us perdono.', 'hu': 'De most megbocsátok.'}"
87,"{'ca': ""Tom: em fa l'efecte que sou una mena de gat escaldat, com diu la gent… i millor del que sembleu, per aquesta vegada."", 'hu': 'Néha jobb vagy, mint amilyennek általában látszol.'}"
88,"{'ca': ""Mig li recava que la seva sagacitat hagués fet fallida, i mig s'alegrava que Tom s'hagués ensopegat, per una vegada, a servar obedient conducta."", 'hu': 'Polly néni félig sajnálta, hogy éleselméjűsége így csődöt mondott, félig pedig örült, hogy Tom egyszerre ilyen engedelmes lett. De Sidney megszólalt:'}"
89,"{'ca': 'Pero Sidney digué: -Bé, jo diria que li havíeu cosit el coll amb fil blanc; pero ara és negre.', 'hu': 'Ejnye, mintha úgy emlékeznék, hogy fehér cérnával varrtad föl azt a gallért, most pedig feketével van odavarrva.'}"
90,"{'ca': '-Oital, si el vaig cosir amb fil blanc!', 'hu': 'Persze hogy fehérrel varrtam meg, Tom!'}"
91,"{'ca': 'Tom!', 'hu': 'De Tom nem várta ki a végét.'}"
92,"{'ca': ""Pero Tom no n'espera l'acabament. En passar la porta, digué:"", 'hu': 'Amint kiugrott az ajtón, még hátraszólt: - Siddy, ezért megkapod a magadét!'}"
93,"{'ca': ""-Siddy, aixo et valdra una pallissa. En un indret segur, Tom examina dues grans agulles clavades a les gires del seu gec; i estaven enfilades, l'una enfilada de fil blanc i l'altra de negre."", 'hu': 'Biztonságba kerülve, Tom megvizsgálta a két hatalmas, kabátja hajtókájába tűzött, cérnával körültekert tűt, az egyik fehérrel, a másik feketével volt befűzve.'}"
94,"{'ca': ""-Mai no n'hauria hagut esment, si no hagués estat per Sid."", 'hu': '""Soha nem vette volna észre, ha Siddy nem szól - tűnődött.'}"
95,"{'ca': 'Llamp! De vegades ella ho cus amb fil blanc, i de vegades ho cus amb fil negre.', 'hu': '- Az ördög vigye el, a néni mindig cserélgeti, egyszer fehérrel varr, egyszer feketével.'}"
96,"{'ca': ""Voldria, en nom de Déu, que sempre ho fes amb l'un o amb l'altre: no puc estar tan amatent als canvis."", 'hu': 'Igazán megmaradhatna valamelyiknél - magam is eltévesztettem már.'}"
97,"{'ca': ""Pero em jugo qualsevol cosa que a Sid l'estaborniré."", 'hu': 'De Sid is megemlegeti, amit azért kap, vagy egyszerűen leharapom a fejem!""'}"
98,"{'ca': 'Li daré una lliçó! Tom no era pas el noi model del poblet.', 'hu': 'Tom nem állt éppen mintagyerek hírében.'}"
99,"{'ca': 'Coneixia molt bé quin era el noi model, tanmateix, i li feia fastic.', 'hu': 'Jól ismerte a mintagyerekeket, és megfelelően utálta is őket.'}"
100,"{'ca': 'Al cap de dos minuts, o menys i tot, havia oblidat tots els seus mals de cap.', 'hu': 'Két perc alatt vagy még hamarább, minden baját elfelejtette.'}"
101,"{'ca': ""No era perque sos mals de cap fossin per a ell ni una mica mica menys amargs i atuidors que els d'un home gran per a un home gran, sinó perque un nou i poderós interes els passa al davant, i els esvaí per aquella estona en la seva ment; igual que els infortunis dels homes són oblidats en l'exaltació de les empreses noves."", 'hu': 'Nem mintha baja csak fikarcnyival is könnyebb és kevésbé keserves lett volna, mint a felnőtteké, hanem mert gondját új és nagyfokú érdekesség fújta el; ahogy a felnőttek minden gondját elfeledteti az új események izgalma.'}"
102,"{'ca': ""Aquest nou interes era una valuosa novetat en l'art de xiular, que acabava d'adquirir d'un negre; i ell es delia per ensinistrar-s'hi sense noses."", 'hu': 'Az új érdekesség értékes, újfajta fütyülésmód volt, amit csak az előbb tanult egy négertől; ezt akarta most háborítatlanul gyakorolni.'}"
103,"{'ca': 'Consistia en un peculiar caient ocellívol, una mena de líquid refilet, que hom produia per un contacte de la llengua amb el paladar, a breus intervals, en mig de la música.', 'hu': 'Furcsa, madárszerű füttyszó volt ez, folyamatos, trillaszerű hang, amit úgy lehet előidézni, hogy az ember a nyelvét rövid időközökben a szájpadlásához érteti fütyülés közben.'}"
104,"{'ca': 'El lector probablement recorda com es fa, si mai ha estat noi.', 'hu': 'Az olvasó bizonyára emlékszik rá gyerekkorából, hogy megy ez.'}"
105,"{'ca': ""Diligencia i atenció aviat aconseguiren de fer-l'hi dominar, i ell baixa a grans passes pel carrer, amb la boca plena d'harmonia i l'anima plena de gratitud."", 'hu': 'Tom némi szorgalommal és figyelemmel rájött a nyitjára, és tele szájjal, tele szívvel, fütyörészve ballagott végig az utcán.'}"
106,"{'ca': ""Sos sentiments eren ben iguals als d'un astronom que ha descobert un nou planeta."", 'hu': 'Úgy érezte magát, mint a csillagász, amikor új bolygót fedez föl.'}"
107,"{'ca': ""Sens dubte, pel que pertoca a un plaer intens, pregon, sense mescla, l'aventatge era per al noi i no pas per a l'astronom."", 'hu': 'Kétség sem fér hozzá, hogy ha csak a mélységes, nagyszeru, csorbítatlan gyönyöruségeket nézzük, Tomnak több volt belole, mint a csillagásznak.'}"
108,"{'ca': ""Les tardes d'istiu són llargues."", 'hu': 'A nyári alkonyat hosszú volt.'}"
109,"{'ca': 'Encara no era fosc.', 'hu': 'Még nem volt sötét.'}"
110,"{'ca': 'De cop i volta, Tom para de xiular.', 'hu': 'Tom egyszerre abbahagyta a fütyülést.'}"
111,"{'ca': 'Tenia al davant un estrany: un noi una mica més gran que ell.', 'hu': 'Idegen fiú került eléje, paraszthajszállal nagyobb, mint ő.'}"
112,"{'ca': 'Un nou vingut de qualsevol edat o sexe era una colpidora curiositat en el pobre poblet de Sant Petersburg.', 'hu': 'Bármily nemű vagy korú idegen izgató érdekességet jelentett a szegényes falucskában, St. Petersburgben.'}"
113,"{'ca': 'A més, el noi anava ben vestit: ben vestit en dia de feina.', 'hu': 'Amellett ez az új fiú jól volt öltözve - hétköznap!'}"
114,"{'ca': 'Aixo era simplement astorador.', 'hu': 'Szinte hihetetlen volt.'}"
115,"{'ca': 'Sa gorra era una cosa bonica. Son gec de tela blava, ajustadament cordat, era nou i airós, i també ho eren sos pantalons.', 'hu': 'Sapkáját mintha skatulyából húzták volna ki, végig gombos kék vászonkabátja új volt, és jól szabott nadrágja szintén.'}"
116,"{'ca': 'Duia sabates, i aixo que tot just era divendres.', 'hu': 'És cipőt viselt, pedig csak péntek volt!'}"
117,"{'ca': 'Fins i tot portava corbata, un bocí brillant de cinta.', 'hu': 'Még nyakkendője is volt: tarka csokor.'}"
118,"{'ca': 'Tenia un taranna aciutadanat que removia les entranyes de Tom.', 'hu': 'Az egész fiúnak olyan városias színe volt, hogy Tom alig bírta ki.'}"
119,"{'ca': ""Quant més Tom badava en front de l'esplendida meravella, més arremangava el nas, impressionat per aquella bellor, i li semblava que son propi abillament es tornava més i més arrossinat."", 'hu': 'Mentül tovább bámult Tom erre a csodára, annál inkább fintorgott ennyi választékosság láttán, és annál ócskábbnak látta saját öltözékét.'}"
120,"{'ca': 'Cap dels dos nois parlava.', 'hu': 'Egyik gyerek sem szólt egy szót sem.'}"
121,"{'ca': ""Si l'un es movia, l'altre es movia; pero només que de flanc, en un cercle."", 'hu': 'Ha egyik megmozdult, a másik is megmozdult - de csak oldalvást, körben.'}"
122,"{'ca': ""Es mantingueren faç contra faç i fit a fit tota l'estona."", 'hu': 'Szemtől szemben állottak, farkasszemet nézve.'}"
123,"{'ca': 'A la fi, Tom digué:', 'hu': 'Végre Tom megszólalt:'}"
124,"{'ca': '-Puc apallissar-vos!', 'hu': 'Földhöz váglak ám!'}"
125,"{'ca': '-Em plauria de veure com ho intenteu.', 'hu': 'Szeretném látni!'}"
126,"{'ca': '-Bé, doncs, puc escometre-ho.', 'hu': 'Fogadjunk, hogy földhöz váglak.'}"
127,"{'ca': '-No, que no podeu, tanmateix.', 'hu': 'Dehogy vágsz.'}"
128,"{'ca': '-Sí, que puc.', 'hu': 'De bizony odaváglak.'}"
129,"{'ca': '-No, que no podeu.', 'hu': 'Nem.'}"
130,"{'ca': '-Puc.', 'hu': 'De.'}"
131,"{'ca': '-No podeu.', 'hu': '- Nem.'}"
132,"{'ca': '-Puc.', 'hu': 'De igen!'}"
133,"{'ca': '-Que no.', 'hu': 'De nem!'}"
134,"{'ca': 'Hi hagué una pausa inconfortable.', 'hu': 'Kínos szünet támadt.'}"
135,"{'ca': 'Aleshores Tom digué:', 'hu': 'Aztán Tom megkérdezte: Hogy hívnak?'}"
136,"{'ca': '-Com us dieu? -No és cosa del vostre ram. .', 'hu': '- Semmi közöd hozzá.'}"
137,"{'ca': '-Bé, doncs, jo ara en puc fer una cosa del meu ram.', 'hu': 'Majd megmutatom, hogy van közöm hozzá.'}"
138,"{'ca': '-Bé, i per que no ho proveu?', 'hu': 'Hát mért nem mutatod?'}"
139,"{'ca': '-Si parleu gaire, ho faré.', 'hu': 'Ha sokat mondod, bizony isten, megmutatom.'}"
140,"{'ca': '-Gaire… gaire… gaire…!', 'hu': 'Sokat mondom! Na, gyere, mutasd meg!'}"
141,"{'ca': ""Que me'n doneu, de fil! -Oh! Us penseu que sou molt viu: oi?"", 'hu': 'Persze azt hiszed, valaki vagy?'}"
142,"{'ca': 'Podria apallissar-vos tenint una ma lligada al meu darrera, si volia.', 'hu': 'Ha akarnálak, fél kézzel is földhöz vághatnálak.'}"
143,"{'ca': '-Bé, per que no voleu fer-ho?', 'hu': 'Hát miért nem vágsz oda?'}"
144,"{'ca': 'Perque vós dieu que podeu fer-ho.', 'hu': 'Ha mondod?'}"
145,"{'ca': '-Bé, ho faré, si beneitegeu gaire.', 'hu': 'Oda is váglak, ha jár a szád.'}"
146,"{'ca': '-Oh! sí… He vist famílies senceres en el mateix compromís.', 'hu': 'Ojjé, ismerem az ilyen fajtát, mint te.'}"
147,"{'ca': '-Murri! Us penseu que sou algú: veritat? -Ai, ai!', 'hu': 'Most azt hiszed, előkelő vagy, mi?'}"
148,"{'ca': 'Quín capell!', 'hu': 'Micsoda sapka!'}"
149,"{'ca': '-Podeu abonyegar-lo, aquest capell, si no us plau.', 'hu': 'Üsd le ezt a sapkát, ha mered.'}"
150,"{'ca': 'Llengua que no li deu una patacada: qui li doni una patacada, rebra.', 'hu': 'Isten bizony, beverem a képét, aki hozzá mer nyúlni!'}"
151,"{'ca': '-Sou un mentider.', 'hu': 'Hazudsz!'}"
152,"{'ca': '-Vós en sou un altre.', 'hu': 'Te hazudsz!'}"
153,"{'ca': '-Us baralleu de per riure, i no goseu començar.', 'hu': 'Hazudsz, és gyáva vagy, csak a szád jár.'}"
154,"{'ca': '-Vejam… fugiu-me del davant!', 'hu': 'Eredj innét, ha jót akarsz!'}"
155,"{'ca': '-Escolteu: si ha de durar gaire més aquest desvergonyiment, agafo una pedra i us enceto el cap.', 'hu': 'Te, ha pofátlankodsz, fejbe váglak avval a kővel.'}"
156,"{'ca': '-Oh! És clar que ho fareu.', 'hu': 'Pont te vágsz fejbe.'}"
157,"{'ca': '-Bé, doncs, ho faré.', 'hu': 'Igenis, én.'}"
158,"{'ca': '-Bé, per que no ho feu, doncs?', 'hu': 'Hát akkor lássuk!'}"
159,"{'ca': 'Per que aneu dient que ho fareu?', 'hu': 'Mért csak ígérgeted mindig?'}"
160,"{'ca': 'Per que no ho feu?', 'hu': 'Mért nem vágsz már fejbe?'}"
161,"{'ca': 'És perque teniu por.', 'hu': 'Félsz! Mi?'}"
162,"{'ca': '-No en tinc, de por.', 'hu': 'Én nem félek!'}"
163,"{'ca': '-Sí que en teniu.', 'hu': 'De félsz!'}"
164,"{'ca': '-No, que no en tinc.', 'hu': 'Nem félek!'}"
165,"{'ca': '-Sí que en teniu.', 'hu': 'Félsz!'}"
166,"{'ca': ""Una altra pausa, i més ullades i borneig, l'un al volt de l'altre."", 'hu': 'Újabb szünet, mialatt farkasszemet néztek, majd újra kerülgetni kezdték egymást.'}"
167,"{'ca': 'Al cap de poc estigueren espatlla contra espatlla.', 'hu': 'Egyszerre váll a vállhoz kerültek.'}"
168,"{'ca': 'Tom digué:', 'hu': 'Tom azt mondta:'}"
169,"{'ca': ""-Aneu-vos-en d'aquí."", 'hu': 'Menj innét!'}"
